,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,idx,month_init,time_finish,time_start,water_period,year
91,234.2957305908203,47.53664594192395,8.054278373718262,33.930798785671584,1028.0580175605126,6,91,12,2011-04-09,2010-12-24,R,2010
92,215.13650512695312,18.387730572425713,7.849280834197998,9.579272963435566,1411.0294270963911,6,92,4,2011-07-01,2011-04-09,HW,2011
93,215.53953552246094,24.38359079449372,10.010379791259766,11.162473584889582,1447.818425770927,6,93,7,2011-08-31,2011-07-01,F,2011
94,232.63343811035156,164.94726661599185,9.243779182434082,62.96249560158394,792.9994450613322,6,94,8,2011-11-23,2011-08-31,LW,2011
95,225.85279846191406,23.80689373694818,7.903843879699707,12.71747320382548,1542.015689773139,6,95,3,2012-06-16,2012-03-08,HW,2012
96,215.97470092773438,23.17317998152217,7.944692611694336,8.83293162979944,1545.135801675982,6,96,6,2012-09-16,2012-06-16,F,2012
97,229.2765655517578,173.0432548091945,10.23537540435791,53.78276550829314,663.3043330533433,6,97,9,2012-12-16,2012-09-16,LW,2012
98,225.85279846191406,23.219416401137092,7.910932540893555,16.422054207093232,1444.078915213352,6,98,3,2013-06-16,2013-03-16,HW,2013
99,215.13650512695312,19.97038509847303,7.890129566192627,9.926590157055331,1516.2127367789853,6,99,6,2013-09-16,2013-06-16,F,2013
100,232.88214111328125,75.23563962416996,9.389283180236816,41.332441553225635,1088.595262135832,6,100,9,2013-12-16,2013-09-16,LW,2013
101,216.5937957763672,21.106928542152424,7.899100303649902,11.601760158263152,1554.4139560685096,6,101,3,2014-06-16,2014-03-16,HW,2014
102,215.13650512695312,20.594524761673622,8.12880802154541,8.158254087264071,1575.5705845280804,6,102,6,2014-09-16,2014-06-16,F,2014
103,231.14993286132812,76.65548728280507,8.699872016906738,50.877273043927715,1018.5435616674931,6,103,9,2014-12-24,2014-09-16,LW,2014
104,233.08302307128906,48.16251397973986,8.335250854492188,27.094069385052638,1124.9725785621931,6,104,12,2015-04-09,2014-12-24,R,2014
105,215.53692626953125,20.813529866257102,7.931506156921387,11.980723545805864,1545.6308381379104,6,105,4,2015-07-09,2015-04-09,HW,2015
106,215.9346923828125,22.220565010356772,8.107645988464355,8.684201356851975,1544.5354306011834,6,106,7,2015-09-23,2015-07-09,F,2015
107,228.90313720703125,158.8779550669109,8.829757690429688,69.42873807497533,843.554311912262,6,107,9,2015-12-24,2015-09-23,LW,2015
108,234.69589233398438,125.15940143376002,7.969209671020508,82.1043511235721,589.1910924295852,6,108,12,2016-04-08,2015-12-24,R,2015
109,217.1455841064453,35.42401717849133,7.910932540893555,14.781681171640448,1376.4895053227092,6,109,4,2016-07-09,2016-04-08,HW,2016
110,232.20144653320312,46.6463657193834,8.030111312866211,21.175725265852908,1371.3904525231483,6,110,7,2016-09-23,2016-07-09,F,2016
111,230.12384033203125,181.29711706243074,10.839653015136719,45.93282253268141,785.3439559297509,6,111,9,2016-12-16,2016-09-23,LW,2016
112,234.99539184570312,75.39275313291314,7.932968616485596,59.74952736076549,1028.1850517368887,6,112,12,2017-03-16,2016-12-16,R,2016
113,230.10487365722656,21.08413163515585,7.902323246002197,16.840143148732615,1435.6735694823274,6,113,3,2017-06-08,2017-03-16,HW,2017
114,219.57666015625,20.397643848923458,7.913033962249756,9.019183608098688,1484.8317434647183,6,114,6,2017-08-23,2017-06-08,F,2017
115,230.8618621826172,116.49428816132594,10.828718185424805,74.30866689924513,925.7556352319949,6,115,8,2017-11-30,2017-08-23,LW,2017
116,233.90911865234375,69.07357087570405,8.198188781738281,45.113221161304274,1034.2298070811123,6,116,11,2018-04-01,2017-11-30,R,2017
117,215.76361083984375,21.489996787987415,7.890129566192627,12.990809517997059,1405.9776058565549,6,117,4,2018-07-09,2018-04-01,HW,2018
118,216.3997344970703,18.703375721484843,7.872185707092285,8.426675570578883,1410.7555461079207,6,118,7,2018-09-23,2018-07-09,F,2018
119,231.6390380859375,153.8935259396707,10.828718185424805,67.44808530432398,825.515596555666,6,119,9,2018-12-24,2018-09-23,LW,2018
120,231.57608032226562,50.53650934202023,8.171492576599121,23.514904056990538,1247.3247343956155,6,120,12,2019-04-09,2018-12-24,R,2018
