,mean_loc_chirps,mean_reg_chirps,time_finish,time_start,water_period
152,1039.0601781372068,904.1103726666014,2022-03-16,2021-12-16,R
153,942.8514786836688,984.7694158375429,2022-06-16,2022-03-16,HW
154,202.00701688806453,362.26812165996733,2022-09-16,2022-06-16,F
155,216.0170399181865,323.07486747449536,2022-12-16,2022-09-16,LW
156,927.0539593489352,812.5494319978172,2023-03-16,2022-12-16,R
157,643.1738035502359,728.0970575874402,2023-06-16,2023-03-16,HW
158,64.59318322196552,203.19270337850116,2023-09-16,2023-06-16,F
159,164.9735926826986,241.4500451956486,2023-12-16,2023-09-16,LW
160,734.9022150887736,523.7769586451865,2024-03-16,2023-12-16,R
161,1053.8292431761054,857.8178466817084,2024-06-08,2024-03-16,HW
162,104.67731675437997,205.23522413769936,2024-08-23,2024-06-08,F
163,95.1682957612141,207.06989341856564,2024-11-23,2024-08-23,LW
164,1205.653605429058,898.9329826509415,2025-03-09,2024-11-23,R
165,837.9436838095171,856.4904667233942,2025-06-09,2025-03-09,HW
166,268.5585195811858,382.91656458982106,2025-09-09,2025-06-09,F
167,218.50484744287272,311.0530553340812,2025-12-09,2025-09-09,LW
168,90.89296952596679,136.64028896538656,2026-01-01,2025-12-09,R
