,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_start,year,water_period,mean_precipitation,mean_discharge,mean_u__wind,mean_v__wind,time_finish
22,797.2881128164398,172.23855662173136,306.0490417480469,6.465377807617188,68.65325520126194,2006-08-30,2006,LW,364.8042573609866,136644.78661182796,-0.690546015442482,-0.2172324877746742,2006-12-23
23,1022.0036554499912,86.78807066469534,306.0490417480469,6.427184104919434,54.90675811101502,2006-12-23,2006,R,295.6319183951628,154536.10685476192,-0.9110863668397068,-0.6638628775030608,2007-02-24
24,1442.7946931632348,23.79939434096593,220.10482788085935,5.5537109375,14.744891827258536,2007-02-24,2007,HW,1554.641952712545,184493.99160463712,-0.6583642033672753,-0.2886286096133337,2007-08-06
25,987.2157527165342,122.47270205284664,304.2342529296875,9.711223602294922,66.25185658097479,2007-09-04,2007,LW,413.6848595428862,110485.5586764268,-0.6696679684584684,-0.3110427314260858,2007-12-19
26,1556.2387380505745,21.32601796900779,282.4901123046875,5.401381969451904,14.143237539656107,2008-01-30,2008,HW,1730.9314233343684,186521.60465002476,-0.6176148979270905,-0.4222579924900723,2008-08-07
27,1487.37660077314,32.409594678764485,282.4901123046875,8.889609336853027,11.288521893793982,2008-08-07,2008,F,131.47004710518493,164827.16869387752,-0.5043142078825972,-0.1540665779421712,2008-09-06
28,964.2225538603076,143.99501256357792,306.0490417480469,7.331065654754639,75.171041504808,2008-09-06,2008,LW,399.1820344718657,119278.7440951613,-0.3211675953904923,-0.1598293359142022,2008-12-11
29,1640.763275072793,22.898178492881225,217.12896728515625,5.733511924743652,10.690970561368813,2009-01-21,2009,HW,1912.752392576278,219826.38221447772,-0.8284927143639967,-0.2776546277315198,2009-08-29
30,1314.741587294281,29.44735482202976,306.0490417480469,5.342865943908691,17.68453539974346,2009-08-29,2009,F,29.36809728677476,202542.5635714286,-1.0980686203518557,-0.1251842332931399,2009-09-19
31,744.8373620684283,178.72060802344728,306.0490417480469,8.952117919921875,76.74729337952414,2009-09-19,2009,LW,271.2463105602934,128126.491528346,-1.0246482717164924,-0.491582112542808,2010-01-02
32,1058.819852232264,65.55135620778009,296.4863586425781,8.843271255493164,37.30185068005678,2010-01-02,2010,R,444.0378428024691,159893.37073045823,-1.0569127721279636,-0.4831264119284806,2010-03-07
33,1413.281473315554,22.673591488119744,282.4901123046875,5.342865943908691,13.397568979152778,2010-03-07,2010,HW,1332.4385781527624,205831.04747849464,-0.5349274837712072,-0.1623521856158215,2010-07-24
34,1248.7264512232298,36.88943894082678,304.2342529296875,6.029915809631348,21.43593873323414,2010-07-24,2010,F,130.15116414495955,182633.59722222225,-0.5868072570300538,-0.5970829330794768,2010-08-20
35,1059.347983601026,70.1714017396789,306.0490417480469,6.060711860656738,41.60963444191149,2010-08-20,2010,LW,723.1869152724622,114141.14297255376,-0.6358589021319054,-0.4444540678068598,2011-01-17
36,1419.757435801191,22.6374996288246,221.46188354492188,5.852083206176758,11.899519370930689,2011-02-23,2011,HW,1501.4887904798672,185957.1281573925,-0.7418692172632882,-0.2834922187075199,2011-08-07
37,1304.6442363250246,35.57800013587983,296.4863586425781,7.85740327835083,13.159620817938883,2011-08-07,2011,F,87.59842310790398,190126.71041666667,,,
38,842.3512941322068,154.46765172255783,306.0490417480469,6.15207052230835,77.60975369966538,2011-08-31,2011,LW,419.01468112741645,143118.0334922939,-0.4540754045385353,-0.2425453489448764,2011-12-26
39,1572.312034559745,24.94250530596037,217.16981506347656,5.401381969451904,10.403350176384611,2012-01-26,2012,HW,1666.5956077567548,193509.33898146707,-0.7746197694346542,-0.2644427293652839,2012-08-11
40,1410.2272903580165,29.119468594565227,306.0490417480469,5.868872165679932,16.075633193212273,2012-08-11,2012,F,65.42743537160152,170410.18369565214,-0.8068711517969879,-0.2299273597973364,2012-09-05
41,751.8020385038163,171.12154080864397,306.0490417480469,6.558223247528076,70.99558264504766,2012-09-05,2012,LW,518.2475429886771,110683.1423071648,-0.7207137348588406,-0.2425487338587868,2013-01-08
42,1528.3460144470532,19.07132765028019,216.9450225830078,5.405128002166748,11.377352817867184,2013-02-12,2013,HW,1621.6422959665897,203547.3328612903,-0.6906210148786236,-0.2853796276726684,2013-08-20
43,1449.8247227728752,31.595312842595828,296.4863586425781,5.844900131225586,15.06624945449328,2013-08-20,2013,F,157.92325079004758,171605.00722222222,-0.5806676347938661,-0.1914769253119358,2013-09-24
44,1136.3695158062555,74.34242564072042,290.9593811035156,7.045444488525391,36.40308449594269,2013-09-24,2013,LW,313.39141096228394,142375.47641754642,-0.6091892562790419,-0.3493082664091531,2013-12-05
45,1045.056862473972,113.18775671346448,306.0490417480469,6.15207052230835,65.93782424953844,2013-12-05,2013,R,288.2931881649858,162794.57918701298,-0.9732215501020786,-0.6207313840059008,2014-02-02
46,1606.695434145483,21.117288985112676,216.640869140625,5.67499589920044,10.2578986685889,2014-02-02,2014,HW,1764.5243014477874,205181.13442284643,-0.9224900645157256,-0.3395985780120768,2014-09-02
47,1536.0347330066857,25.81336588537992,295.4930419921875,6.149892807006836,10.432552645146911,2014-09-02,2014,F,37.4903718616257,181229.005483871,,,
48,977.0325223466092,101.899516782429,304.2342529296875,7.015099048614502,60.794842158725146,2014-09-29,2014,LW,273.3964607173916,145134.1248252688,-0.653739746413865,-0.1516549648356467,2014-12-18
49,1027.5370666645558,59.61599421312806,306.0490417480469,6.15207052230835,37.09487898353332,2014-12-18,2014,R,331.2635775335899,156501.54111344536,-0.9608533298739138,-0.5070574457113772,2015-02-10
50,1567.277266807501,20.772003845339167,216.86819458007807,5.487191200256348,10.723108060211455,2015-02-10,2015,HW,1453.131885769256,198010.68972222225,-1.0287095702303513,-0.3773848247926865,2015-09-02
51,1224.9024042945537,24.51203055158768,290.0010681152344,6.049108028411865,14.380626311754208,2015-09-02,2015,F,24.85893724146611,180306.4541025641,,,
52,866.1429208949919,157.54909795856247,306.0490417480469,7.134773254394531,78.8367984303282,2015-09-21,2015,LW,369.134459345808,114373.4641691231,-1.1439838230215669,-0.5348297449489684,2016-02-23
53,1393.5580207229468,37.786207656836886,220.82261657714844,5.67499589920044,16.415758696056923,2016-04-02,2016,HW,836.2372262902902,193923.1057701613,-0.6810383568778174,-0.249176461631428,2016-07-20
54,1374.5816108040394,52.71743359338394,287.35321044921875,5.663523674011231,23.409406693643867,2016-07-20,2016,F,149.06182241317038,174051.1739153226,-0.4466385829591665,-0.272218062261561,2016-09-02
55,789.7424933187278,201.1845697082746,292.41192626953125,9.746291160583496,54.780592444539565,2016-09-02,2016,LW,627.0081639180071,114133.90864646743,-0.6698583558785687,-0.1117217602612384,2017-01-01
56,773.5274958469471,137.11206771469426,306.0490417480469,5.969913482666016,79.58009204119334,2017-01-01,2017,R,414.5160220323417,152267.03416666668,-0.7298866589639639,-0.5641182226035367,2017-02-01
57,1493.8239355905002,20.13996246287643,240.6658935546875,5.733511924743652,11.562009610616531,2017-02-01,2017,HW,1552.2940067613345,201998.4205119392,-0.7656231564811483,-0.4016750514791025,2017-08-03
58,1473.6659060454488,33.84745939806511,297.3078308105469,6.281865119934082,14.097320417256524,2017-08-03,2017,F,37.0504917939866,184040.40156250005,,,
59,842.6078612851594,160.0213817401409,292.41192626953125,8.362348556518555,71.26055083679861,2017-08-27,2017,LW,480.691220945413,112891.45755824374,-0.7234636672739296,-0.2343888703710865,2017-12-31
60,944.456861272822,71.767276572737,306.0490417480469,5.881446838378906,43.3274486299068,2017-12-31,2017,R,326.95432700927967,155805.23482142857,-0.8100138568751056,-0.7348090069800695,2018-02-17
61,1428.098150862288,19.92529711783022,216.91162109375,5.67499589920044,11.585606096893915,2018-02-17,2018,HW,1475.3682080990266,190479.61224086024,-0.7337371376257601,-0.3857272832002469,2018-08-15
62,1414.2465908015563,20.739566395449494,272.3528747558594,5.80126428604126,12.344587304789131,2018-08-15,2018,F,135.1744902151932,171801.6035483871,-0.7690425640434041,-0.3709258449242475,2018-09-16
63,892.5368957361484,131.14198020448833,296.4863586425781,8.061058044433594,77.66782946861444,2018-09-16,2018,LW,263.50286287006577,127231.86266673935,-0.895670804814323,-0.3781588280458134,2018-12-09
64,1114.5832035932845,71.04059427926838,306.0490417480469,5.881446838378906,38.1412706794116,2018-12-09,2018,R,289.6286275681092,144317.219,-1.0463198932368345,-0.6761958655487967,2019-01-23
65,1457.4479595641956,18.048570761339874,216.9450225830078,5.342865943908691,11.59486233558866,2019-01-23,2019,HW,1591.303860460545,203283.9567272785,-0.8798391272823766,-0.4281452888022847,2019-08-22
66,1479.013725230136,21.02351911733775,299.8280639648437,5.868872165679932,11.627451982668196,2019-08-22,2019,F,73.43853564529043,179846.42681818182,-0.6676765815729947,-0.3712967873695474,2019-09-18
67,962.763883814486,85.01608245538996,299.8280639648437,6.060711860656738,52.2093971421285,2019-09-18,2019,LW,355.8048130915164,133725.76135752688,-0.5739515565278099,-0.1910230690631595,2019-12-07
68,1238.5472530405173,48.86290517398591,302.4209289550781,5.663523674011231,25.10689005896158,2019-12-07,2019,R,326.11562250890745,163262.5020079023,-0.8858436950506818,-0.7942408167857926,2020-02-07
69,1401.4600417342967,20.362990148966816,217.31626892089844,5.67499589920044,12.136011623039773,2020-02-07,2020,HW,1470.6240513483024,198614.23958110277,-0.6851503206634595,-0.2890720655818227,2020-08-08
70,1402.719485974182,20.326121848013408,290.5838317871094,5.80126428604126,10.751322519419224,2020-08-08,2020,F,80.59844039232101,166808.01380000002,-0.8782737221549611,-0.3412036749604605,2020-09-04
71,990.2511567141588,82.64068013293179,306.0490417480469,6.3701491355896,49.747035306821175,2020-09-04,2020,LW,408.0414004952333,100246.71293625192,-0.6794415681939476,-0.2610918063269772,2020-12-23
72,911.6269702660844,72.88828801742312,306.0490417480469,6.048137187957764,49.96108243352414,2020-12-23,2020,R,339.53245884736066,134219.7575,-0.6652238751816927,-0.5564102943339153,2021-01-27
73,1546.4964630995091,17.7425091504108,216.640869140625,5.733511924743652,11.73367778537329,2021-01-27,2021,HW,1764.855009519824,214749.5217151177,-0.604324270832723,-0.4126012325952086,2021-08-30
74,1517.2876887636255,30.42191507162132,290.5838317871094,5.868872165679932,14.81365522088557,2021-08-30,2021,F,92.5204218882283,197150.935,-0.5785128832701725,-0.269483322644256,2021-09-26
75,1065.3097835356934,91.76292723873156,306.0490417480469,5.80126428604126,54.07772028164862,2021-09-26,2021,LW,250.2261311942368,160882.57285714286,-0.622361900320115,-0.2534243628033382,2021-11-22
76,1102.3152046986934,109.5681161388734,306.0490417480469,6.15207052230835,65.49517868449732,2021-11-22,2021,R,270.9486480939194,184250.2051282051,-0.553700434415755,-0.5202010540195074,2022-01-01
77,1566.9120223982152,18.02129539994281,216.640869140625,5.67499589920044,10.238238489415512,2022-01-01,2022,HW,2067.0378132102933,228570.40154197457,-0.6452158245600093,-0.4250675086444599,2022-08-24
78,1468.2730885510668,22.68763741262392,292.39862060546875,5.80126428604126,12.277377131978303,2022-08-24,2022,F,65.55412108166304,190831.03727272723,-0.9262183056126944,-0.3929927693361191,2022-09-16
79,851.0856069643479,113.56317114317898,306.0490417480469,6.048137187957764,71.11521920980815,2022-09-16,2022,LW,486.5298197663403,123086.80220236364,-0.633901395648504,-0.4189373748404487,2023-01-09
80,1400.95703799709,21.086417853988877,217.0363922119141,5.67499589920044,10.835326290384014,2023-02-15,2023,HW,1158.7438732504784,189753.36151084624,-0.8696553395143963,-0.2527796694723468,2023-08-01
81,1428.3507968418046,26.464622406047614,298.3011474609375,5.80126428604126,12.778906557067534,2023-08-01,2023,F,39.496523797656174,180788.90305555557,-1.0036137097895748,-0.2728650193658241,2023-08-25
82,719.1089466852552,143.3352590282804,306.0490417480469,6.060711860656738,80.91994094257069,2023-08-25,2023,LW,502.22014711063446,110447.13457354596,-1.1233232787519147,-0.3336467327635738,2024-01-26
83,1066.7771402676976,35.99492210863943,306.0490417480469,5.663523674011231,20.55460691681238,2024-01-26,2024,R,347.2895387656403,144147.74085266457,-1.1535812471506814,-0.312714101725053,2024-03-25
84,1185.061555302631,38.18854152255665,282.4901123046875,5.510151386260986,23.110245322164804,2024-04-06,2024,F,605.5892081464801,203966.25307692305,-0.6453017743909366,-0.1488003524452234,2024-05-30
85,1184.201748448561,46.78427300330616,257.67156982421875,5.67499589920044,33.44011028036248,2024-05-30,2024,LW,680.9346356794605,138414.85364749102,-0.9786331506057568,-0.2522835652253756,2025-01-01
