,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,time_finish,time_start,water_period,year,mean_discharge,mean_loc_chirps,u_wind_loc,v_wind_loc,watershed,anthropogenic_km2,natural_km2
83,230.02052307128903,16.229499160806224,7.890129566192627,9.00393071477684,1271.9366898558246,6.0,1997-06-16,1997-03-16,HW,1997,,493.7732917301546,-2.578230407615867,-0.0541708078208006,Local Watershed,181.8114231081988,1638.719563273478
85,215.64157104492188,20.31110603763128,7.925432205200195,12.573516795861511,1394.4259217378697,6.0,1997-09-16,1997-06-16,F,1997,190923.81870967743,117.78563411693104,-2.870506237335249,-0.0112029725104017,Local Watershed,181.8114231081988,1638.719563273478
86,231.7582855224609,201.87690817595268,10.005043983459473,42.61930658568436,701.9213948230902,6.0,1997-12-24,1997-09-16,LW,1997,83465.56137000001,145.7472069694762,-2.580495630401574,0.0029141186973393,Local Watershed,181.8114231081988,1638.719563273478
90,229.26873779296875,50.38511227196604,8.042795181274414,26.517590580335487,1288.2068463346063,6.0,1998-08-31,1998-07-01,F,1998,,64.99376943474779,-1.9740118085151652,0.0146003734149082,Local Watershed,180.9847606482477,1671.4650176844168
94,234.7637939453125,142.261123666147,8.13782024383545,78.42195368553753,576.6469571402865,6.0,1999-04-01,1998-11-30,R,1998,,1243.538963233806,-1.6542180889982814,-0.2926134172614761,Local Watershed,180.9847606482477,1671.4650176844168
96,224.28599548339844,21.414758963660912,7.879195213317871,23.13235420453193,1296.152876771679,6.0,1999-07-09,1999-04-01,HW,1999,,809.9102963011476,-1.6726611527332704,-0.1738365497335442,Local Watershed,178.16125021606084,1586.9505865097058
98,218.0203399658203,24.320307128219163,7.925432205200195,16.166742837903104,1437.851060382755,6.0,1999-09-23,1999-07-09,F,1999,,120.07997233556895,-1.1691397486606545,-0.2452742423052213,Local Watershed,178.16125021606084,1586.9505865097058
100,232.8074951171875,170.18502347276527,10.924068450927734,59.116922495993954,881.7249647950983,6.0,1999-12-24,1999-09-23,LW,1999,,330.1710292908507,-1.5171335768938277,0.1601196946733019,Local Watershed,178.16125021606084,1586.9505865097058
102,234.48280334472656,93.88686224976703,9.016607284545898,68.32542884777558,896.1720387349477,6.0,2000-04-08,1999-12-24,R,1999,,1408.6855164700837,-1.2175766424598569,-0.4699805600675478,Local Watershed,178.16125021606084,1586.9505865097058
104,223.8042449951172,17.10488468405033,7.871316909790039,13.654779127886332,1308.164311375146,6.0,2000-07-16,2000-04-08,HW,2000,,752.8653235658329,-2.118288371744064,-0.0629797806393725,Local Watershed,182.2376924935526,1674.7296824116695
106,218.72747802734372,24.709793433450137,7.940486431121826,14.493446604978846,1326.5741957042037,6.0,2000-10-16,2000-07-16,F,2000,,184.2933853624789,-2.2544579547388675,0.333094122655563,Local Watershed,182.2376924935526,1674.7296824116695
108,233.3350982666016,184.78572523367484,10.83965301513672,54.69632573166754,902.849114169824,6.0,2001-01-07,2000-10-16,LW,2000,,253.02474805351224,-1.599636586315103,-0.0450125947898515,Local Watershed,182.2376924935526,1674.7296824116695
110,232.16357421875,86.6593942757707,8.784039497375488,58.23594469246324,1134.295313519154,6.0,2001-03-24,2001-01-07,R,2001,,915.4792173367098,-1.9928626212371356,-0.4863543772881828,Local Watershed,184.93173960448843,1691.5023548585264
112,228.1894378662109,24.950231855790555,7.887654781341553,20.57905879934792,1367.0437435109338,6.0,2001-06-16,2001-03-24,HW,2001,,771.4383192194815,-1.7531801879098317,-0.0976067273461105,Local Watershed,184.93173960448843,1691.5023548585264
114,215.2109222412109,19.340951655754623,7.910932540893555,10.03000040230972,1395.4928578642912,6.0,2001-09-16,2001-06-16,F,2001,195585.52741935485,147.1388829977295,-2.104456482301132,-0.129959904509624,Local Watershed,184.93173960448843,1691.5023548585264
