time_finish,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,time_start,water_period,year,mean_discharge,precipitation,u_wind,v_wind,watershed,anthropogenic_km2,natural_km2,TSS_max_fill,TSS_min_fill,TSS_stdDev_fill
2011-08-31,215.5395355224609,24.38359079449372,10.010379791259766,11.162473584889582,1447.818425770927,2011-07-01,F,2011,206777.2277479059,206.96905501942496,-0.8259758261096444,-0.3735229362886707,Regional Watershed,4208.065271058273,301027.3585552806,215.5395355224609,10.010379791259766,11.162473584889582
2011-11-23,232.6334381103516,164.94726661599185,9.243779182434082,62.96249560158394,792.9994450613322,2011-08-31,LW,2011,108946.67250573312,315.0967164171076,-0.4289554229268823,-0.2728357199449381,Regional Watershed,4208.065271058273,301027.3585552806,232.6334381103516,9.243779182434082,62.96249560158394
2012-06-16,225.8527984619141,23.806893736948176,7.903843879699707,12.71747320382548,1542.015689773139,2012-03-08,HW,2012,242333.8637,902.2750245152786,-0.7997508236432229,-0.1095528155752175,Regional Watershed,4089.808778730512,300559.4885925508,225.8527984619141,7.903843879699707,12.71747320382548
2012-09-16,215.9747009277344,23.17317998152217,7.944692611694336,8.83293162979944,1545.135801675982,2012-06-16,F,2012,208690.6603225806,365.196286597452,-0.697867500159679,-0.3044965709953496,Regional Watershed,4089.808778730512,300559.4885925508,215.9747009277344,7.944692611694336,8.83293162979944
2012-12-16,229.2765655517578,173.0432548091945,10.23537540435791,53.78276550829314,663.3043330533433,2012-09-16,LW,2012,96449.8264826625,354.6429969106802,-0.6453534284035262,-0.0633396812193863,Regional Watershed,4089.808778730512,300559.4885925508,229.2765655517578,10.23537540435791,53.78276550829314
2013-06-16,225.8527984619141,23.219416401137096,7.910932540893555,16.422054207093232,1444.078915213352,2013-03-16,HW,2013,234353.85217391304,952.761467370359,-0.7690095293077184,-0.2143001869002152,Regional Watershed,4224.883838902001,300491.96754196857,225.8527984619141,7.910932540893555,16.422054207093232
2013-09-16,215.13650512695312,19.970385098473027,7.890129566192627,9.926590157055331,1516.2127367789851,2013-06-16,F,2013,211249.61688172043,489.2190944895759,-0.4790660403373579,-0.2788628624447033,Regional Watershed,4224.883838902001,300491.96754196857,215.13650512695312,7.890129566192627,9.926590157055331
2013-12-16,232.88214111328125,75.23563962416996,9.389283180236816,41.33244155322564,1088.595262135832,2013-09-16,LW,2013,130489.32044664683,354.52467374491727,-0.6071337799192836,-0.350453674683144,Regional Watershed,4224.883838902001,300491.96754196857,232.88214111328125,9.389283180236816,41.33244155322564
2014-06-16,216.5937957763672,21.10692854215242,7.899100303649902,11.601760158263152,1554.4139560685096,2014-03-16,HW,2014,242066.91836956525,923.8783465214084,-0.8643802938135229,-0.2789323026588789,Regional Watershed,4314.024799519962,300201.02333985886,216.5937957763672,7.899100303649902,11.601760158263152
2014-09-16,215.13650512695312,20.594524761673625,8.12880802154541,8.158254087264071,1575.5705845280804,2014-06-16,F,2014,226714.9174193548,413.5584125155807,-0.8858202018416805,-0.3468803363435278,Regional Watershed,4314.024799519962,300201.02333985886,215.13650512695312,8.12880802154541,8.158254087264071
2014-12-24,231.14993286132807,76.65548728280505,8.699872016906738,50.8772730439277,1018.5435616674932,2014-09-16,LW,2014,131919.33987999998,343.82286389900656,-0.5932794666602876,-0.1344998291588314,Regional Watershed,4314.024799519962,300201.02333985886,231.14993286132807,8.699872016906738,50.8772730439277
