time_finish,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,time_start,water_period,year,mean_discharge,precipitation,u_wind,v_wind,watershed,anthropogenic_km2,natural_km2,TSS_max_fill,TSS_mean_fill,TSS_min_fill,TSS_stdDev_fill,area_km2_fill
2012-12-16 00:00:00,229.2765655517578,173.0432548091945,10.23537540435791,53.78276550829314,663.3043330533433,2012-09-16 00:00:00,LW,2012,96449.8264826625,354.6429969106802,-0.6453534284035262,-0.0633396812193863,Regional Watershed,4089.808778730512,300559.4885925508,229.2765655517578,173.0432548091945,10.23537540435791,53.78276550829314,663.3043330533433
2012-12-16 06:00:00,,,,,,2012-09-16 00:00:00,LW,2012,96327.67116304347,355.5314079717693,-0.6456225026521112,-0.06385729746408852,Regional Watershed,4089.808778730512,300559.4885925508,229.3152339951725,173.2810722578009,10.239229814441313,53.864084653625106,661.7958275402356
2013-03-16 00:00:00,,,,,,2012-12-16 00:00:00,R,2013,146537.00228540058,801.4455330352461,-0.8252447562731021,-0.5602809566091097,Regional Watershed,4224.883838902001,300491.96754196857,235.0592090602928,139.14717088709148,9.757440877335526,49.741294913298084,792.3737636202093
2013-03-16 18:00:00,,,,,,2012-12-16 06:00:00,R,2013,147393.59273333332,804.9726666218864,-0.8263377505146502,-0.5614320667090279,Regional Watershed,4224.883838902001,300491.96754196857,235.04237134224238,138.19460541311815,9.74281746518901,49.50759376174904,797.3448183202339
2013-06-16 00:00:00,225.8527984619141,23.219416401137096,7.910932540893555,16.422054207093232,1444.078915213352,2013-03-16 00:00:00,HW,2013,234353.85217391304,952.761467370359,-0.7690095293077184,-0.2143001869002152,Regional Watershed,4224.883838902001,300491.96754196857,225.8527984619141,23.219416401137096,7.910932540893555,16.422054207093232,1444.078915213352
2013-06-16 00:00:00,,,,,,2013-03-16 18:00:00,HW,2013,234353.85217391304,952.7614673703589,-0.7690095293077184,-0.2143001869002152,Regional Watershed,4224.883838902001,300491.96754196857,225.85279846191406,23.21941640113709,7.910932540893555,16.422054207093232,1444.078915213352
2013-09-16 00:00:00,215.13650512695312,19.970385098473027,7.890129566192627,9.926590157055331,1516.2127367789851,2013-06-16 00:00:00,F,2013,211249.61688172043,489.2190944895759,-0.4790660403373579,-0.2788628624447033,Regional Watershed,4224.883838902001,300491.96754196857,215.13650512695312,19.970385098473027,7.890129566192627,9.926590157055331,1516.2127367789851
2013-12-16 00:00:00,232.88214111328125,75.23563962416996,9.389283180236816,41.33244155322564,1088.595262135832,2013-09-16 00:00:00,LW,2013,130489.32044664683,354.52467374491727,-0.6071337799192836,-0.350453674683144,Regional Watershed,4224.883838902001,300491.96754196857,232.88214111328125,75.23563962416996,9.389283180236816,41.33244155322564,1088.595262135832
2013-12-16 06:00:00,,,,,,2013-09-16 00:00:00,LW,2013,130402.11397826088,354.98288813212713,-0.6082548159278555,-0.3510437750399263,Regional Watershed,4224.883838902001,300491.96754196857,232.91899638783804,75.31956932960591,9.39147359568309,41.39027857521193,1087.9025795912287
2014-03-16 00:00:00,,,,,,2013-12-16 00:00:00,R,2014,168140.7178400984,709.540357356818,-1.0036496166851168,-0.57706211289608,Regional Watershed,4314.024799519962,300201.02333985886,230.95010290478106,64.46437535839,8.982749761024959,37.95508267629701,1180.271957487134
