,water_period,media_vazao,Data,type,day,month,year,longitude,latitude,time_start
120,R,179420.35228571427,2021-09-26 14:52:02.123893760,LW_to_R,26,9,2021,-55.5131,-1.9192,2021-09-26
121,HW,228570.40154197457,2022-01-01 00:00:00.000000000,R_to_HW,1,1,2022,-55.5131,-1.9192,2022-01-01
122,F,190831.03727272723,2022-08-24 16:23:51.055900672,HW_to_F,24,8,2022,-55.5131,-1.9192,2022-08-24
123,R,127765.86735551074,2022-09-16 15:02:53.633440512,LW_to_R,16,9,2022,-55.5131,-1.9192,2022-09-16
124,HW,189753.36151084624,2023-02-15 08:43:38.181818112,R_to_HW,15,2,2023,-55.5131,-1.9192,2023-02-15
125,F,180788.90305555554,2023-08-01 20:06:29.189189120,HW_to_F,1,8,2023,-55.5131,-1.9192,2023-08-01
126,R,118005.62014813063,2023-08-25 18:37:31.737451520,LW_to_R,25,8,2023,-55.5131,-1.9192,2023-08-25
127,HW,169781.06838709678,2024-03-25 23:32:02.330097152,R_to_HW,25,3,2024,-55.5131,-1.9192,2024-03-25
128,F,203966.25307692305,2024-04-06 10:42:51.428571648,HW_to_F,6,4,2024,-55.5131,-1.9192,2024-04-06
129,R,129132.97864749105,2024-05-30 21:51:25.714285824,F_to_L,30,5,2024,-55.5131,-1.9192,2024-05-30
