,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_finish,time_start,year,WATER_PERIOD
43,967.3205669412213,155.9479105136505,306.0490417480469,6.15207052230835,79.08968175520774,2004-01-12,2003-09-18,2003,LW
44,1359.8534839363283,26.043217514596908,282.4901123046875,5.556675434112549,15.881660096497658,2004-07-19,2004-03-08,2004,HW
45,1349.208896657897,38.149361248658195,296.3232727050781,5.868872165679932,18.546965544681154,2004-09-10,2004-07-19,2004,F
46,945.6161097062885,180.3783970355155,306.0490417480469,6.049108028411865,62.34021853247317,2005-01-08,2004-09-10,2004,LW
47,1463.2512114532412,30.03354479181896,282.4901123046875,5.597198486328125,21.216908613256813,2005-07-13,2005-02-24,2005,HW
48,1339.4290810268717,29.91977956566521,304.2342529296875,6.251514434814453,13.20842314360963,2005-08-12,2005-07-13,2005,F
49,880.0621884640932,122.26588325366365,302.4209289550781,10.081149101257324,74.20395302345223,2005-12-23,2005-08-12,2005,LW
50,1483.6806478574886,25.78243059387922,282.4901123046875,5.342865943908691,15.606119009268777,2006-08-03,2006-02-02,2006,HW
51,1512.1308020233012,27.032587826708063,282.4901123046875,5.686615943908691,12.295673275876052,2006-08-30,2006-08-03,2006,F
52,797.2881128164399,172.2385566217314,306.0490417480469,6.4653778076171875,68.65325520126189,2006-12-23,2006-08-30,2006,LW
53,1022.0036554499914,86.78807066469534,306.0490417480469,6.427184104919434,54.90675811101502,2007-02-24,2006-12-23,2006,R
54,1442.7946931632348,23.79939434096594,220.10482788085938,5.5537109375,14.744891827258535,2007-08-06,2007-02-24,2007,HW
55,987.2157527165342,122.47270205284667,304.2342529296875,9.711223602294922,66.25185658097479,2007-12-19,2007-09-04,2007,LW
56,1556.2387380505745,21.326017969007786,282.4901123046875,5.401381969451904,14.143237539656107,2008-08-07,2008-01-30,2008,HW
57,1487.3766007731401,32.409594678764485,282.4901123046875,8.889609336853027,11.288521893793982,2008-09-06,2008-08-07,2008,F
58,964.2225538603076,143.99501256357792,306.0490417480469,7.331065654754639,75.17104150480797,2008-12-11,2008-09-06,2008,LW
59,1640.763275072793,22.898178492881225,217.12896728515625,5.733511924743652,10.690970561368811,2009-08-29,2009-01-21,2009,HW
60,1314.7415872942813,29.447354822029773,306.0490417480469,5.342865943908691,17.684535399743464,2009-09-19,2009-08-29,2009,F
61,744.8373620684283,178.72060802344728,306.0490417480469,8.952117919921875,76.74729337952414,2010-01-02,2009-09-19,2009,LW
62,1058.8198522322639,65.5513562077801,296.4863586425781,8.843271255493164,37.30185068005678,2010-03-07,2010-01-02,2010,R
63,1413.281473315554,22.673591488119744,282.4901123046875,5.342865943908691,13.397568979152778,2010-07-24,2010-03-07,2010,HW
64,1248.7264512232298,36.88943894082679,304.2342529296875,6.029915809631348,21.43593873323414,2010-08-20,2010-07-24,2010,F
65,1059.347983601026,70.1714017396789,306.0490417480469,6.060711860656738,41.609634441911496,2011-01-17,2010-08-20,2010,LW
66,1419.757435801191,22.6374996288246,221.46188354492188,5.852083206176758,11.899519370930689,2011-08-07,2011-02-23,2011,HW
67,1304.6442363250246,35.57800013587983,296.4863586425781,7.85740327835083,13.159620817938885,2011-08-31,2011-08-07,2011,F
68,842.3512941322068,154.46765172255783,306.0490417480469,6.15207052230835,77.60975369966538,2011-12-26,2011-08-31,2011,LW
69,1572.312034559745,24.94250530596037,217.16981506347656,5.401381969451904,10.403350176384613,2012-08-11,2012-01-26,2012,HW
70,1410.2272903580165,29.119468594565237,306.0490417480469,5.868872165679932,16.075633193212273,2012-09-05,2012-08-11,2012,F
71,751.8020385038163,171.12154080864397,306.0490417480469,6.558223247528076,70.99558264504763,2013-01-08,2012-09-05,2012,LW
72,1528.3460144470532,19.07132765028019,216.9450225830078,5.405128002166748,11.377352817867184,2013-08-20,2013-02-12,2013,HW
73,1449.8247227728752,31.59531284259582,296.4863586425781,5.844900131225586,15.066249454493281,2013-09-24,2013-08-20,2013,F
74,1136.3695158062553,74.34242564072039,290.9593811035156,7.045444488525391,36.40308449594269,2013-12-05,2013-09-24,2013,LW
75,1045.056862473972,113.18775671346448,306.0490417480469,6.15207052230835,65.93782424953844,2014-02-02,2013-12-05,2013,R
76,1606.6954341454832,21.117288985112673,216.640869140625,5.6749958992004395,10.257898668588895,2014-09-02,2014-02-02,2014,HW
77,1536.0347330066857,25.813365885379916,295.4930419921875,6.149892807006836,10.432552645146913,2014-09-29,2014-09-02,2014,F
78,999.8305197282724,84.56308338294966,306.0490417480469,6.701792240142822,51.06101009152162,2015-02-10,2014-09-29,2014,R
79,1567.277266807501,20.772003845339167,216.86819458007812,5.487191200256348,10.723108060211455,2015-09-02,2015-02-10,2015,HW
80,868.120056094981,150.1756427991817,306.0490417480469,7.134773254394531,80.51538329345914,2016-04-02,2015-09-21,2015,R
81,1393.5580207229468,37.786207656836886,220.82261657714844,5.6749958992004395,16.415758696056923,2016-07-20,2016-04-02,2016,HW
82,1374.5816108040397,52.717433593383944,287.35321044921875,5.6635236740112305,23.40940669364388,2016-09-02,2016-07-20,2016,F
83,804.7233664347837,197.11074547777545,292.41192626953125,9.746291160583496,55.957595477783045,2017-02-01,2016-09-02,2016,R
84,1493.8239355905,20.13996246287643,240.6658935546875,5.733511924743652,11.562009610616531,2017-08-03,2017-02-01,2017,HW
85,1473.665906045449,33.84745939806511,297.3078308105469,6.281865119934082,14.097320417256524,2017-08-27,2017-08-03,2017,F
86,897.3481221702707,131.56857167489918,286.1071472167969,8.09948444366455,71.81950425514478,2018-02-17,2017-08-27,2017,R
